Transaction_ID,Date,Region,Product_Category,Product_SKU,Quantity,Unit_Price,Discount_Applied,Customer_Rating,Is_Member,Total_Sales,,
1001,2023-02-27 23:35:31,North,Garden,SKU-615,25,172.99,0.05,5,Yes,4108.51,,
1002,2023-07-27 16:18:39,East,Garden,SKU-973,6,271.65,0.2,5,No,1303.92,,
1003,2023-05-04 18:31:03,South,Electronics,SKU-974,37,482.34,0.15,3,Yes,15169.59,,
1004,2023-03-13 15:31:24,East,Toys,SKU-285,2,493.82,0.1,3,Yes,888.88,,
1005,2023-05-11 8:37:14,North,Electronics,SKU-964,42,306,0.05,1,Yes,12209.4,,
1006,2023-08-24 21:21:39,North,Garden,SKU-840,29,416.31,0.15,5,Yes,10262.04,,
1007,2023-05-04 0:08:41,West,Electronics,SKU-493,12,209.55,0.1,1,Yes,2263.14,,
1008,2023-03-29 8:20:53,North,Clothing,SKU-769,5,334.68,0.15,3,Yes,1422.39,,
1009,2023-12-28 3:43:28,East,Home,SKU-897,48,343.05,0.2,3,No,13173.12,,
1010,2023-07-22 16:49:29,North,Clothing,SKU-757,30,480.33,0.05,5,No,13689.4,,
1011,2023-10-19 4:15:05,North,Electronics,SKU-778,34,403.03,0.2,1,No,10962.42,,
1012,2023-05-18 6:07:42,West,Clothing,SKU-658,32,456.94,0,2,No,14622.08,,
1013,2023-05-22 19:00:30,West,Garden,SKU-683,20,27.36,0.05,2,Yes,519.84,,
1014,2023-12-07 15:01:16,West,Garden,SKU-185,22,314.12,0.2,1,Yes,5528.51,,
1015,2023-11-25 9:32:17,West,Toys,SKU-145,9,16.81,0.2,1,Yes,121.03,,
1016,2023-05-09 23:33:04,East,Clothing,SKU-800,29,484.48,0.15,3,Yes,11942.43,,
1017,2023-08-19 0:32:59,North,Clothing,SKU-421,32,335.85,0.05,4,No,10209.84,,
1018,2023-03-18 23:41:03,South,Toys,SKU-875,19,83.36,0,1,No,1583.84,,
1019,2023-11-14 19:19:54,North,Toys,SKU-149,39,197.63,0.15,4,No,6551.43,,
1020,2023-01-23 22:53:00,East,Clothing,SKU-180,5,30.69,0.15,4,No,130.43,,
1021,2023-03-19 8:40:54,South,Home,SKU-969,32,348.4,0.1,4,Yes,10033.92,,
1022,2023-08-23 17:34:51,South,Home,SKU-122,47,236.79,0.15,3,No,9459.76,,
1023,2023-10-26 12:39:08,North,Electronics,SKU-960,31,317.11,0,4,Yes,9830.41,,
1024,2023-01-02 17:32:40,North,Home,SKU-105,2,209.43,0.05,5,Yes,397.92,,
1025,2023-06-02 11:33:07,North,Home,SKU-674,23,282.7,0,1,No,6502.1,,
1026,2023-06-11 15:59:40,East,Toys,SKU-861,29,354.24,0,2,No,10272.96,,
1027,2023-08-10 21:19:57,West,Electronics,SKU-103,22,286.74,0,3,Yes,6308.28,,
1028,2023-02-13 19:18:41,South,Clothing,SKU-623,2,446.96,0.1,5,Yes,804.53,,
1029,2023-02-23 11:52:32,North,Garden,SKU-803,39,321.15,0.1,2,No,11272.36,,
1030,2023-12-28 2:23:46,West,Garden,SKU-660,34,361.67,0.15,5,Yes,10452.26,,
1031,2023-12-04 3:54:23,West,Home,SKU-492,28,476.57,0,3,Yes,13343.96,,
1032,2023-10-04 21:32:34,South,Garden,SKU-191,26,131.76,0.15,3,Yes,2911.9,,
1033,2023-11-03 19:47:43,West,Toys,SKU-639,23,302.67,0.15,1,Yes,5917.2,,
1034,2023-07-20 22:36:04,East,Toys,SKU-243,11,311.75,0.15,5,Yes,2914.86,,
1035,2023-07-07 10:41:55,North,Electronics,SKU-267,21,464.11,0.15,1,No,8284.36,,
1036,2023-04-16 12:02:13,East,Toys,SKU-352,42,200.79,0.2,4,Yes,6746.54,,
1037,2023-11-08 21:32:50,West,Home,SKU-273,49,53.81,0,2,No,2636.69,,
1038,2023-10-28 21:09:40,West,Toys,SKU-976,43,437.41,0.15,5,Yes,15987.34,,
1039,2023-12-21 2:44:59,East,Toys,SKU-751,42,107.54,0.05,4,Yes,4290.85,,
1040,2023-05-21 9:41:22,East,Home,SKU-231,17,180.12,0.05,1,No,2908.94,,
1041,2023-06-19 19:18:17,South,Garden,SKU-895,19,165.55,0,5,No,3145.45,,
1042,2023-11-10 16:02:03,East,Home,SKU-910,38,138.01,0,5,No,5244.38,,
1043,2023-04-15 6:48:57,South,Home,SKU-231,45,14.08,0.05,5,No,601.92,,
1044,2023-02-12 17:40:56,West,Toys,SKU-319,16,341.16,0.05,2,Yes,5185.63,,
1045,2023-06-04 20:22:46,East,Clothing,SKU-514,44,490.04,0.05,1,Yes,20483.67,,
1046,2023-11-11 23:05:55,North,Garden,SKU-585,16,32.71,0.15,3,No,444.86,,
1047,2023-08-31 16:02:54,South,Clothing,SKU-896,26,474.4,0.2,2,No,9867.52,,
1048,2023-11-05 20:20:51,West,Toys,SKU-510,24,120.97,0.15,5,No,2467.79,,
1049,2023-04-15 2:10:12,East,Garden,SKU-340,15,102.41,0.2,5,Yes,1228.92,,
1050,2023-11-11 17:46:02,West,Garden,SKU-354,9,248.84,0.2,4,Yes,1791.65,,
1051,2023-01-25 3:36:13,South,Electronics,SKU-628,10,22.73,0.15,4,No,193.2,,
1052,2023-11-03 14:06:25,West,Home,SKU-343,49,191.91,0.1,3,Yes,8463.23,,
